url,rate,pub,title
https://book.douban.com/subject/5337248/,8.9,"
        
  
  白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元

      ","

    台北人


    

  "
https://book.douban.com/subject/26672693/,9.1,"
        
  
  [瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元

      ","

    一个叫欧维的男人决定去死


    

  "
https://book.douban.com/subject/26382433/,8.2,"
        
  
  [美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元

      ","

    无声告白


    

  "
https://book.douban.com/subject/1085799/,8.6,"
        
  
  陈忠实 / 人民文学出版社 / 1997年 / 28.00元

      ","

    白鹿原


    

  "
https://book.douban.com/subject/26340138/,7.6,"
        
  
  [美] 加布瑞埃拉·泽文 / 孙仲旭、李玉瑶 / 江苏凤凰文艺出版社 / 2015-5 / CNY 35.00

      ","

    岛上书店


    

  "
https://book.douban.com/subject/26997067/,9.1,"
        
  
  冉正万 / 广西师范大学出版社 / 2017-5 / 29.80元

      ","

    苍老的指甲和宵遁的猫


    
      "
https://book.douban.com/subject/1089243/,8.7,"
        
  
  王小波 / 花城出版社 / 1999-3 / 19.00元

      ","

    黄金时代


    
      "
https://book.douban.com/subject/25864257/,7.8,"
        
  
  Ken Follett / Dutton Adult / 2014-9-16 / USD 36.00

      ","

    Edge of Eternity


    
      "
https://book.douban.com/subject/3406401/,9,"
        
  
  [德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 / 上海人民出版社 / 2009-3 / 20.00

      ","

    悉达多


    

  "
https://book.douban.com/subject/1068920/,9.3,"
        
  
  [美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元

      ","

    飘


    

  "
https://book.douban.com/subject/1829226/,9.1,"
        
  
  [美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 / 人民文学出版社 / 2006-7 / 29.90元

      ","

    肖申克的救赎


    

  "
https://book.douban.com/subject/26969002/,8,"
        
  
  郑在欢 / 上海文艺出版社 / 2017-2 / 35.00元

      ","

    驻马店伤心故事集


    

  "
https://book.douban.com/subject/5038409/,9,"
        
  
  [日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元

      ","

    金色梦乡


    

  "
https://book.douban.com/subject/6789605/,9,"
        
  
  (意)卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4 / 30.00元

      ","

    树上的男爵


    

  "
https://book.douban.com/subject/2035179/,9.2,"
        
  
  [英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元

      ","

    动物农场


    

  "
https://book.douban.com/subject/1856025/,8.9,"
        
  
  [英] 奥斯卡·王尔德 / 荣如德 / 上海译文出版社 / 2006-8 / 12.00元

      ","

    道连·葛雷的画像


    

  "
https://book.douban.com/subject/1090043/,8.5,"
        
  
  张爱玲 / 花城出版社 / 1997-3-1 / 11.00

      ","

    倾城之恋


    

  "
https://book.douban.com/subject/26210487/,9,"
        
  
  (日)三浦紫苑 / 林佩瑾、李建铨、杨正敏 / 广西师范大学出版社 / 2015-1-1 / 39.00元

      ","

    强风吹拂


    

  "
https://book.douban.com/subject/26309120/,8.6,"
        
  
  Jesse Eisenberg / Bond Street Books / 2015-9-22

      ","

    Bream Gives Me Hiccups


    
      "
https://book.douban.com/subject/26936410/,8.1,"
        
  
  [美] 安·泰勒 / 卢肖慧 / 百花文艺出版社 / 2017-3 / 45.00元

      ","

    呼吸课


    

  "
https://book.douban.com/subject/26356515/,8.1,"
        
  
  [美] J.J.艾布拉姆斯、[美] 道格·道斯特 / 颜湘如 / 中信出版集团 / 2016-6-6 / 168.00 元

      ","

    S.


    
      "
https://book.douban.com/subject/26945142/,8.3,"
        
  
  [德] 埃尔克·海登莱希 / 丁娜、杜新华 / 湖南文艺出版社 / 2017-1 / 28.80元

      ","

    背对世界


    

  "
